status,product_area,response,justification,request_type
replied,HackerRank:interviews_assessments,Thanks for reaching out about HackerRank. Please follow the product's documentation (4291690360-plagiarism-best-practices-guide.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=4291690360-plagiarism-best-practices-guide.md,product_issue
replied,None:general_support,Thanks for reaching out about None. Please follow the product's documentation (2625349560-professional-hire.md) for further assistance.,request_type=bug; status=replied; matched_doc=2625349560-professional-hire.md,bug
replied,HackerRank:interviews_assessments,Thanks for reaching out about HackerRank. Please follow the product's documentation (9519177-how-can-i-create-and-manage-projects.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=9519177-how-can-i-create-and-manage-projects.md,product_issue
replied,HackerRank:billing,Thanks for reaching out about HackerRank. Please follow the product's documentation (9695299159-onboarding-candidates.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=9695299159-onboarding-candidates.md,product_issue
replied,Claude:general_support,Thanks for reaching out about Claude. Please follow the product's documentation (11845131-use-claude-code-with-your-team-or-enterprise-plan.md) for further assistance.,request_type=feature_request; status=replied; matched_doc=11845131-use-claude-code-with-your-team-or-enterprise-plan.md,feature_request
escalated,Visa:general_support,Thanks for reporting this issue. It will be escalated to a human support specialist for further asistance since it appears to be sensitive or needs account-level review.,request_type=product_issue; status=escalated; matched_doc=12386420-claude-code-faq.md,product_issue
replied,HackerRank:general_support,Thanks for reaching out about HackerRank. Please follow the product's documentation (1995877061-introduction-to-hackerrank-community.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=1995877061-introduction-to-hackerrank-community.md,product_issue
replied,HackerRank:interviews_assessments,Thanks for reaching out about HackerRank. Please follow the product's documentation (3678461564-greenhouse-hackerrank-integration-faqs.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=3678461564-greenhouse-hackerrank-integration-faqs.md,product_issue
escalated,Visa:billing,Thanks for reporting this issue. It will be escalated to a human support specialist for further asistance since it appears to be sensitive or needs account-level review.,request_type=product_issue; status=escalated; matched_doc=dispute-resolution.md,product_issue
escalated,Claude:general_support,Thanks for reporting this issue. It will be escalated to a human support specialist for further asistance since it appears to be sensitive or needs account-level review.,request_type=product_issue; status=escalated; matched_doc=13171706-crisis-helpline-support-in-claude.md,product_issue
replied,Claude:general_support,Thanks for reaching out about Claude. Please follow the product's documentation (12923227-using-the-benevity-connector-in-claude.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=12923227-using-the-benevity-connector-in-claude.md,product_issue
escalated,Visa:travel_cards,Thanks for reporting this issue. It will be escalated to a human support specialist for further asistance since it appears to be sensitive or needs account-level review.,request_type=product_issue; status=escalated; matched_doc=12618689-claude-code-on-the-web.md,product_issue
replied,Claude:general_support,Thanks for reaching out about Claude. Please follow the product's documentation (11845131-use-claude-code-with-your-team-or-enterprise-plan.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=11845131-use-claude-code-with-your-team-or-enterprise-plan.md,product_issue
replied,None:general_support,Thanks for reaching out about None. Please follow the product's documentation (12902428-using-claude-in-chrome-safely.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=12902428-using-claude-in-chrome-safely.md,product_issue
escalated,Visa:travel_cards,Thanks for reporting this issue. It will be escalated to a human support specialist for further asistance since it appears to be sensitive or needs account-level review.,request_type=product_issue; status=escalated; matched_doc=travelers-cheques.md,product_issue
replied,Claude:general_support,Thanks for reaching out about Claude. Please follow the product's documentation (11199177-anthropic-s-ai-for-science-program.md) for further assistance.,request_type=feature_request; status=replied; matched_doc=11199177-anthropic-s-ai-for-science-program.md,feature_request
replied,HackerRank:login_account,Thanks for reaching out about HackerRank. Please follow the product's documentation (13393991-purchase-and-manage-seats-on-enterprise-plans.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=13393991-purchase-and-manage-seats-on-enterprise-plans.md,product_issue
replied,Claude:login_account,Thanks for reaching out about Claude. Please follow the product's documentation (11845131-use-claude-code-with-your-team-or-enterprise-plan.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=11845131-use-claude-code-with-your-team-or-enterprise-plan.md,product_issue
replied,Visa:travel_cards,Thanks for reaching out about Visa. Please follow the product's documentation (13779868-migrate-your-organization-from-team-to-enterprise.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=13779868-migrate-your-organization-from-team-to-enterprise.md,product_issue
